conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2038958593526141440.00000000000000000000,Tue Mar 31 12:36:25 +0000 2026,15,pas udah di halte TJ ditelp sama dia. : ry temenein gw makan malem bareng : oke langsung tap out dan meluncur nemenin dia makan. sejak kuliah ga pernah berubah one call away aku mah https://t.co/ElH6EdMSGz,2038958593526141440.00000000000000000000,https://pbs.twimg.com/media/HEvWAioaQAEG20c.jpg,,in,,0,0,0,https://x.com/undefined/status/2038958593526141379,1958409128994594816.00000000000000000000,
2038884506325905408.00000000000000000000,Tue Mar 31 07:42:01 +0000 2026,0,bayangin ntar bikin event kan bisa tf ke mandiri/bca/seabank trus diitung juga tuh biaya adm bank itu trus adm top up spay biaya tf mandiri-bca top up emoney buat tj krl : )) lagian survey doang naik ojek mana jauh lagi bejirrrrr,2038884506325905408.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038884506325905489,996075750611550208.00000000000000000000,
2038732164473450752.00000000000000000000,Mon Mar 30 21:36:40 +0000 2026,0,Naik TJ aja apa ya kalo bensin naik wkwk,2038732164473450752.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038732164473450801,1353662772,
2038862371305984256.00000000000000000000,Tue Mar 31 06:14:04 +0000 2026,0,kewkwk paling gede biaya pribadi lagi kenapasi harus gojek? pdhl ada transum:). ke tebet bisa pake krl atau lrt ke tmiik bisa pake tj :),2038862371305984256.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038862371305984137,1126101213362044928.00000000000000000000,
2038955645874086144.00000000000000000000,Tue Mar 31 12:24:42 +0000 2026,0,gue naik tj 6t berdiri diblkg mabokk. kampung bgt y,2038955645874086144.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038955645874086020,138015798,
2038967728271454208.00000000000000000000,Tue Mar 31 13:12:43 +0000 2026,2,Edisi terjebak di halte Tj #SadeWalk https://t.co/6DtfcBBmIa,2038967728271454208.00000000000000000000,https://pbs.twimg.com/media/HEveVbNasAAjDpC.jpg,,in,,0,0,0,https://x.com/undefined/status/2038967728271454232,1373204336914751488.00000000000000000000,
2038964615581999360.00000000000000000000,Tue Mar 31 13:00:21 +0000 2026,0,gw suka naik jaklingko tp deket kantor gw ga dipasang bus stop padahal kalo liat dr apk tj tuh ada stop di situ jadinya suka dilewatin bjir sama supirnya padahal udh gw cegat tp kadang suka ada supir yg baik mau berhenti bahkan nungguin gw jalan masuk jaklingko,2038964615581999360.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038964615581999362,1230006133143687168.00000000000000000000,
2039098033607241728.00000000000000000000,Tue Mar 31 21:50:30 +0000 2026,0,gw trauma bgt motoran dr cawang ke tj duren pas rush hour ya allah mau nangis aja mana pp balik jam 10 malem pun pancoran ttp macet ,2039098033607241728.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2039098033607241850,754007509015285760.00000000000000000000,
2038957897783365888.00000000000000000000,Tue Mar 31 12:33:39 +0000 2026,0,Masuk jg ke akun ini wkwk btw baru ngeh itu admin begaya bgt pake gocar segala pdhl ada opsi buat naik transum &amp; ga sesusah itu mksd gue ini jkt loh brayy apalagi tebet mau mrt lrt krl tj tinggal pilih trs itu harga2 makanannya ga masuk akal bgt ,2038957897783365888.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038957897783365876,721757749,
2038825210636615936.00000000000000000000,Tue Mar 31 03:46:24 +0000 2026,0,Halo min @PT_Transjakarta kalau naik 5M dari arah tanah abang bisa turun langsung di halte depan perpusnas ga ya? Makasih min,2038825210636615936.00000000000000000000,,,in,,0,2,0,https://x.com/undefined/status/2038825210636615875,1843420632903757824.00000000000000000000,
2038884951307997440.00000000000000000000,Tue Mar 31 07:43:47 +0000 2026,0,haha ada TJ lewat situ juga buat belok hadeh yg begini kebiasaan bikin macett,2038884951307997440.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038884951307997377,1682757287969177600.00000000000000000000,
2038974426159722752.00000000000000000000,Tue Mar 31 13:44:23 +0000 2026,0,@identicalight @identicalight Hai kak. Layanan Transjakarta Rute B51 Cikarang - Cawang beroperasi normal melayani pelanggan dari pukul 05:00 - 22:00 WIB. Untuk informasi rute tracking bus dan perencanaan perjalanan dapat diakses melalui aplikasi TJ: Transjakarta. Terima kasih.^EG,2038975699223245056.00000000000000000000,,identicalight,in,,0,0,0,https://x.com/undefined/status/2038975699223245158,104556071,
2039023483737550848.00000000000000000000,Tue Mar 31 17:11:52 +0000 2026,0,@Agniaa96 @Agniaa96 Hai Kak. Silakan naik kor. 9 dan transit di Halte Simpang Kuningan lanjut dengan rute L13E dan transit di Halte Kuningan lanjut dengan rute 6K dan silakan Kakak dapat turun di Bus Stop Lotte Mall Kuningan 1. Terima kasih. ^LK,2039027912071164160.00000000000000000000,,Agniaa96,in,,0,1,0,https://x.com/undefined/status/2039027912071164165,104556071,
2039119044398489600.00000000000000000000,Tue Mar 31 23:22:30 +0000 2026,0,@sefiiin @sefiiin Hai Kak terkait pengajuan Pin Prioritas yang belum mendapatkan konfirmasi mohon diinformasikan nama alamat email dan nomor telepon. Silakan kirimkan melalui DM ya. Terima kasih ^LL,2039121186966348032.0000000000000000000,,sefiiin,in,,0,1,0,https://x.com/undefined/status/2039121186966348150,104556071,
2038985791683367424.00000000000000000000,Tue Mar 31 15:11:02 +0000 2026,0,@AlexanderDenjo Hai Kak @AlexanderDenjo. Jika ingin menuju Mall Kota Kasablanka menggunakan MRT Jakarta dari Stasiun Lebak Bulus Bank Syariah Indonesia Kakak dapat turun di Stasiun Bendungan Hilir kemudian melanjutkan perjalanan menuju Mall Kota Kasablanka dengan menggunakan Transjakarta arah,2038997506554843392.00000000000000000000,,AlexanderDenjo,in,,0,0,0,https://x.com/undefined/status/2038997506554843393,78847590,
2038969537664823808.00000000000000000000,Tue Mar 31 13:40:36 +0000 2026,0,@jurnaldhena @jurnaldhena Hai Kakak. Silahkan menaiki rute 13E lalu turun di halte CSW lalu berpindah menggunakan ke halte Kejaksaan Agung dan menggunakan koridor 1 Blok M - Kota. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan dapat mengunduh aplikasi TJ:Transjakarta. Terima,2038974747380420608.00000000000000000000,,jurnaldhena,in,,0,0,0,https://x.com/undefined/status/2038974747380420734,104556071,
2038985351713419264.00000000000000000000,Tue Mar 31 14:22:45 +0000 2026,0,WKWKKWKWKWK NYAMPE AKUN TJ love transum,2038985351713419264.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038985351713419357,1723042979819266048.0000000000000000000,
2038951487309795328.00000000000000000000,Tue Mar 31 12:08:11 +0000 2026,0,papasan sama tj jd kepo deh,2038951487309795328.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038951487309795344,1795472045637308416.00000000000000000000,
2038650801275732480.00000000000000000000,Mon Mar 30 16:13:21 +0000 2026,0,Biasanya tiap selasa tuh jadwal paling santai tpi sem ini SANGAT JELEK. BERANGKAT PAGI PULANG MALEM DAN BERAKHIR MENJADI GEPREK DI TJ,2038650801275732480.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038650801275732415,1493428726167932928.00000000000000000000,
2038970468494135296.00000000000000000000,Tue Mar 31 13:24:44 +0000 2026,0,admin yg rumahnye ciledug sinilah gw guide-in rute rute busway dari cbd apa purbet bebas ga mungkin jg elu gapernah naik busway sih,2038970754008809984.000000000000000000,,hidenread,in,,0,0,0,https://x.com/undefined/status/2038970754008809954,1329808579134558208.00000000000000000000,
2038976897602949376.00000000000000000000,Tue Mar 31 13:49:09 +0000 2026,0,Etmin TJ sudah berbicara,2038976897602949376.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038976897602949262,1874132897747394560.00000000000000000000,
2038774641834242048.0000000000000000000,Tue Mar 31 00:25:27 +0000 2026,0,Gue pagi pagi dah rasanya pen muntah dan pusing gara gara pms. Bahkan hampir pingsan di TJ saking pusingnya ,2038774641834242048.0000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038774641834242059,1918480234636296192.00000000000000000000,
2038900336379977984.0000000000000000000,Tue Mar 31 08:44:55 +0000 2026,0,tmii ke tebet bisa naik tj no 9 padahal. Cuma 3.500,2038900336379977984.0000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038900336379978098,246631629,
2039007143639326720.00000000000000000000,Tue Mar 31 15:49:20 +0000 2026,0,Tiap hr di jaklingko/tj mode loop,2039007143639326720.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039007143639326789,708432817,
2045049785015738880.00000000000000000000,Fri Apr 17 08:06:08 +0000 2026,1,@penatsudahh Egk kk ak gi di tj https://t.co/OAEFt8tMUy,2045051167068364800.00000000000000000000,https://pbs.twimg.com/media/HGF7MWPasAAil_X.jpg,penatsudahh,ht,,0,0,0,https://x.com/undefined/status/2045051167068364803,2012799614106374144.00000000000000000000,
2038923803208855808.00000000000000000000,Tue Mar 31 10:18:10 +0000 2026,0,Se absurd2 nya naik TJ paling absurd disapa petugas yg pake toa bilang gini are you ready??? Go ,2038923803208855808.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038923803208855873,1625341836079562752.00000000000000000000,
2038949957328400640.00000000000000000000,Tue Mar 31 12:02:06 +0000 2026,0,Tolong alat tap di bus dan halte disinkronkan @PT_Transjakarta Supaya kalau naik bis yang bisa berhenti di pinggir dan di halte tidak terbaca 2x tap in dan jadi terpotong 2kali,2038949957328400640.00000000000000000000,,,in,,0,1,1,https://x.com/undefined/status/2038949957328400611,422395463,
2038934193540075776.00000000000000000000,Tue Mar 31 10:59:27 +0000 2026,0,engga lagi lagi dah naik busway ke Lebak Bulus di jam rush hour,2038934193540075776.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038934193540075878,1331016084,
2039014028090167296.00000000000000000000,Tue Mar 31 16:16:42 +0000 2026,1,Bukan cuma sekali dua kali kejadian kaca pecah di antrian 6V. EVALUASI HEADWAY 6V DI RAGUNAN! @PT_Transjakarta Udah kejadian berkali² masih aja parkir mundur di Ragunan.,2039014028090167296.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039014028090167414,589862686,
2039130040840176128.00000000000000000000,Tue Mar 31 23:57:41 +0000 2026,0,Injury time banget ngetap tj masih 2rb wkwkwk,2039130040840176128.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039130040840176054,93639441,
2038860469801512960.0000000000000000000,Tue Mar 31 06:06:30 +0000 2026,0,Yaileh gue udh gundah gulana takut macet segala macem ternyata halim - scbd cuma 20 menit non tol :) kenapa waktu itu gue naik tj bisa 1 5 jam yah .,2038860469801512960.0000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038860469801513007,1520422794793988096.00000000000000000000,
2038940064856809472.00000000000000000000,Tue Mar 31 11:22:47 +0000 2026,2,Ada gila gilanya dr ciledug naik gojek WKWK gua aja kalo pergi ke sana naik tj,2038940064856809472.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038940064856809563,1307202553,
2038906795159441664.00000000000000000000,Tue Mar 31 09:10:35 +0000 2026,0,Manja bgt tebet eco pake naik gocar. Ada TJ sama jaklingko padahal Itu apalagi Batagor tebet ,2038906795159441664.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038906795159441614,518257466,
2038930983463084288.00000000000000000000,Tue Mar 31 10:46:42 +0000 2026,0,Tmi hari ini ntah knapa egk macet.. literli pulang + pergi tj nya egk kejebak macet.. ada aph yh ini,2038930983463084288.00000000000000000000,,,in,,0,2,0,https://x.com/undefined/status/2038930983463084279,1810325078015684608.00000000000000000000,
2039115405768401152.00000000000000000000,Tue Mar 31 22:59:32 +0000 2026,0,Gua baru masuk bus tj dan udh liat pemandangan agit 57 megang buku utbk,2039115405768401152.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2039115405768401217,1471036727271718912.00000000000000000000,
2038986572419449088.00000000000000000000,Tue Mar 31 14:27:36 +0000 2026,0,Mf lewat tl mulu huru hara enih cm bisa menghela nafas Ini panitianya gaada yg waras apa pada gadikasih tau isi RABnya sekonyol ini oh wahai batagor tebet Btw ciledug ecopark bisa naik tj lanjut jaklingko pp cm 7000,2038986572419449088.00000000000000000000,,,in,,0,2,0,https://x.com/undefined/status/2038986572419449013,3143258515,
2038950646205006080.00000000000000000000,Tue Mar 31 12:04:50 +0000 2026,0,pdhl naik tj kaga macet macet amat ga sampe 106 500,2038950646205006080.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038950646205006130,1136235904937254912.00000000000000000000,
2038874987457851648.00000000000000000000,Tue Mar 31 07:04:12 +0000 2026,0,Buset mepet betul. Jakarta-Seoul terjangkau TJ ya,2038874987457851648.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038874987457851732,1227994684724695040.0000000000000000000,
2038943952129401344.00000000000000000000,Tue Mar 31 11:38:14 +0000 2026,1,Si Karyawan TJ akhirnya grad dari TJ Terima kasih sepuh sudah membuat kami semua menjadi wota,2038943952129401344.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038943952129401230,417430014,
2038883901180112896.00000000000000000000,Tue Mar 31 07:39:37 +0000 2026,0,GOCAR KE TEBET... ADA HALTE TJ BOTH DI TMII DAN JATIASIH (gw orang situ),2038883901180112896.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038883901180113008,1301138754577469440.00000000000000000000,
2038901306593771776.00000000000000000000,Tue Mar 31 08:48:47 +0000 2026,0,Salah satu alasan kalo ke blok M mending bawa mobil parkir di mall sekalian - atau naik transport umum (MRT bisa transjakarta bisa). Daripada adu urat padahal niat mau healing -_-,2038901306593771776.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038901306593771689,1012541507994206208.00000000000000000000,
2038884882982777088.00000000000000000000,Tue Mar 31 07:43:31 +0000 2026,0,ngegojek anying naik tj ege tj klo keberatan sm transport mah bukannya dimasukin ke pengeluaran event,2038884882982777088.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038884882982777034,1468354649912901632.00000000000000000000,
2038883160038199552.00000000000000000000,Tue Mar 31 07:36:40 +0000 2026,0,ini ada ongkos gojek emang ngga pada pake tj kah? terus kenapa ditanggung pesertanya bjirr,2038883160038199552.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038883160038199516,2250100434,
2038864552801296640.00000000000000000000,Tue Mar 31 06:22:44 +0000 2026,3,Saatnya apa ? Saatnya mencari pulihan lagi !!! . . Transjakarta PT Bayu Holong Persada BHP-220513 7D| KAMPUNG RAMBUTAN - TAMAN MINI - PANCORAN Hino RN 285 A/T Cityline 3 Laksana Caroserrie https://t.co/u0gdeqJDMJ,2038864552801296640.00000000000000000000,https://pbs.twimg.com/media/HEuAe86aYAAgfgU.jpg,,in,,1,0,0,https://x.com/undefined/status/2038864552801296552,195995659,
2038997920410988800.00000000000000000000,Tue Mar 31 15:12:41 +0000 2026,1,ini ga tau Jabodetabek mana soalnya luas tapi kalo akan banyak kegiatan di Jakarta saran saya beli KUE karena kamu mungkin butuh ini. di Jakarta transum (angkot TJ LRT MRT KRL) bayarnya pake ini. parkir di beberap tempat juga bayarnya cuma bisa pake ini (GBK misalnya). https://t.co/wjl6sbo1n4,2038997920410988800.00000000000000000000,https://pbs.twimg.com/media/HEvvBB3awAATmAe.png,,in,,0,1,0,https://x.com/undefined/status/2038997920410988822,68606413,
2045047571450605824.00000000000000000000,Fri Apr 17 07:51:50 +0000 2026,1,Vau sam res dejmo se borit prot davčni optimizaciji (tj. utaji davkov) s tem da jim sploh ne bo treba davkov plačat! Genialno!,2045047571450605824.00000000000000000000,,,sl,,0,2,0,https://x.com/undefined/status/2045047571450605838,1242768334841696256.00000000000000000000,
2038928801779077376.00000000000000000000,Tue Mar 31 10:38:02 +0000 2026,0,kata ak b25 banyakin bisnyah @ b25 @ transjakarta,2038928801779077376.00000000000000000000,,,in,,1,0,0,https://x.com/undefined/status/2038928801779077368,2475180602,
2038942289117184256.00000000000000000000,Tue Mar 31 15:21:09 +0000 2026,0,@arifmuharram Jangan tutup total. Bus TJ harusnya boleh masuk,2039000051566145536.00000000000000000000,,arifmuharram,in,,0,1,0,https://x.com/undefined/status/2039000051566145621,253948136,
2045020648167309824.00000000000000000000,Fri Apr 17 06:04:51 +0000 2026,1,#INFOTRANSJAKARTA | Layanan Mikrotrans JAK 23: Senen - Pisangan Baru saat ini sudah beroperasi normal kembali melayani pelanggan tanpa pengalihan. Pantau informasi terkini layanan Transjakarta melalui X instagram: infotije pt_transjakarta ataupun aplikasi TJ:Transjakarta. Mari,2045020648167309824.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2045020648167309808,104556071,
